time,Ckappa_U0.08,C3-_U0.08,C3+_U0.08,Ckappa_U0.32,C3-_U0.32,C3+_U0.32,Ckappa_U1.28,C3-_U1.28,C3+_U1.28
7.799999999999988276e+00,9.964861945906855478e-01,9.609203003462798431e-01,9.903598855605586504e-01,9.531395967488113241e-01,5.009347755700334082e-01,8.636188473355973505e-01,8.487222135967664727e-01,1.074735230245914622e-02,3.839036568899678592e-01
7.899999999999987921e+00,9.964613611425108264e-01,9.601649589489500425e-01,9.903200158907469186e-01,9.528373551986945023e-01,4.936132960985999962e-01,8.632037837026810267e-01,8.479757224203742227e-01,7.501020639632437897e-03,3.834652165702927551e-01
7.999999999999987566e+00,9.964368612977585471e-01,9.594008981702540906e-01,9.902816056117991206e-01,9.525394471362230719e-01,4.862874325650081708e-01,8.628069163909120043e-01,8.472272686112153339e-01,4.462682357679427676e-03,3.830076771926427814e-01
8.099999999999987210e+00,9.964126803159017998e-01,9.586278817800062413e-01,9.902445585102241932e-01,9.522457934861336959e-01,4.789568000361349998e-01,8.624274203468649258e-01,8.464770413420006356e-01,1.647931752177200348e-03,3.825366449502758948e-01
8.199999999999986855e+00,9.963888036663808290e-01,9.578457747356604601e-01,9.902087676591941889e-01,9.519562984923152227e-01,4.716218889699951844e-01,8.620643854869070033e-01,8.457252755410391565e-01,-9.307530584824825126e-04,3.820575501222729375e-01
8.299999999999986500e+00,9.963652160542249003e-01,9.570545536865519010e-01,9.901741192803255043e-01,9.516708447662578507e-01,4.642841547426574955e-01,8.617168296358105328e-01,8.449722934878024505e-01,-3.264008367798677899e-03,3.815756631371643448e-01
8.399999999999986144e+00,9.963419005060206723e-01,9.562543119109369050e-01,9.901404969364914210e-01,9.513892896180183856e-01,4.569460647948048182e-01,8.613837128348288408e-01,8.442185199322719269e-01,-5.345551957342317868e-03,3.810960274348924037e-01
8.499999999999985789e+00,9.963188376560641046e-01,9.554452578923031680e-01,9.901077857953246575e-01,9.511114631037796974e-01,4.496110932168539964e-01,8.610639527380523628e-01,8.434644720899715509e-01,-7.172101729919035107e-03,3.806233298856133151e-01
8.599999999999985434e+00,9.962960053376737068e-01,9.546277071954393234e-01,9.900758766832723490e-01,9.508371680623105560e-01,4.422836561992681270e-01,8.607564409207458800e-01,8.427107298913646405e-01,-8.743236225007468970e-03,3.801617410260969554e-01
8.699999999999985079e+00,9.962733785385629037e-01,9.538020678234830907e-01,9.900446696521175705e-01,9.505661822258757443e-01,4.349689865533120647e-01,8.604600599691442087e-01,8.419578946646627537e-01,-1.006119751484323144e-02,3.797147622460618210e-01
8.799999999999984723e+00,9.962509297290211840e-01,9.529688197742401945e-01,9.900140768058894869e-01,9.502982622985305383e-01,4.276729509843049115e-01,8.601737011883737738e-01,8.412065455704875738e-01,-1.113064739857307951e-02,3.792851147434410097e-01
8.899999999999984368e+00,9.962286295244735523e-01,9.521284900139981300e-01,9.899840241856574519e-01,9.500331497153964300e-01,4.204018193981359230e-01,8.598962826512668300e-01,8.404572024818924847e-01,-1.195839619225636148e-02,3.788746963333435858e-01
8.999999999999984013e+00,9.962064476056496920e-01,9.512816244997123194e-01,9.899544525799138794e-01,9.497705776480179773e-01,4.131620006236409459e-01,8.596267671322507242e-01,8.397103018506022476e-01,-1.255312796787025342e-02,3.784846189195248956e-01
