# long range t-V model of spinless fermions
# L = 18, t = 1.0, V = 0.4
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1.1 2.1999999999999999E-005 0.0734624
1.1 2.3000000000000000E-005 0.0734624
1.1 2.4000000000000001E-005 0.0734636
1.1 2.5000000000000001E-005 0.0734637
1.1 2.5999999999999998E-005 0.0734732
1.1 2.6999999999999999E-005 0.0734872
1.1 2.8000000000000000E-005 0.0734878
1.1 2.9000000000000000E-005 0.0734932
1.1 3.0000000000000001E-005 0.0734941
1.1 3.1000000000000001E-005 0.073538
1.1 3.1999999999999999E-005 0.0735442
1.1 3.3000000000000003E-005 0.0735568
1.1 3.4000000000000000E-005 0.0735862
1.1 3.4999999999999997E-005 0.0735873
1.1 3.6000000000000001E-005 0.0735877
1.1 3.6999999999999998E-005 0.0736064
1.1 3.8000000000000002E-005 0.0736064
1.1 3.8999999999999999E-005 0.0736064
1.1 4.0000000000000003E-005 0.0736132
1.1 4.1000000000000000E-005 0.0736132
1.1 4.1999999999999998E-005 0.0736431
1.1 4.3000000000000002E-005 0.0736511
1.1 4.3999999999999999E-005 0.0736583
1.1 4.5000000000000003E-005 0.0736586
1.1 4.6000000000000000E-005 0.0736598
1.1 4.6999999999999997E-005 0.0736606
1.1 4.8000000000000001E-005 0.0736606
1.1 4.8999999999999998E-005 0.0736606
1.1 5.0000000000000002E-005 0.0736728
1.1 5.1000000000000000E-005 0.0736909
1.1 5.1999999999999997E-005 0.0736909
1.1 5.3000000000000001E-005 0.0736917
1.1 5.3999999999999998E-005 0.073693
1.1 5.5000000000000002E-005 0.0736933
1.1 5.5999999999999999E-005 0.0736933
1.1 5.7000000000000003E-005 0.0737018
