# XXZ spin chain 
# MCLM for L=32, Delta=0.375
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.01568 0.15354 1.40354
0.01570 0.15409 1.40409
0.01572 0.15464 1.40464
0.01574 0.15517 1.40517
0.01576 0.15570 1.4057
0.01578 0.15621 1.40621
0.01580 0.15672 1.40672
0.01582 0.15722 1.40722
0.01584 0.15771 1.40771
0.01586 0.15819 1.40819
0.01588 0.15867 1.40867
0.01590 0.15915 1.40915
0.01592 0.15962 1.40962
0.01594 0.16007 1.41007
0.01596 0.16052 1.41052
0.01598 0.16095 1.41095
0.01600 0.16137 1.41137
0.01602 0.16178 1.41178
0.01604 0.16218 1.41218
0.01606 0.16258 1.41258
0.01608 0.16296 1.41296
0.01610 0.16334 1.41334
0.01612 0.16370 1.4137
0.01614 0.16405 1.41405
0.01616 0.16439 1.41439
0.01618 0.16472 1.41472
0.01620 0.16504 1.41504
0.01622 0.16536 1.41536
0.01624 0.16567 1.41567
0.01626 0.16598 1.41598
0.01628 0.16629 1.41629
0.01630 0.16658 1.41658
0.01632 0.16687 1.41687
0.01634 0.16715 1.41715
0.01636 0.16743 1.41743
0.01638 0.16769 1.41769
0.01640 0.16794 1.41794
0.01642 0.16819 1.41819
0.01644 0.16843 1.41843
0.01646 0.16867 1.41867
0.01648 0.16892 1.41892
0.01650 0.16916 1.41916
0.01652 0.16940 1.4194
0.01654 0.16964 1.41964
0.01656 0.16986 1.41986
0.01658 0.17008 1.42008
0.01660 0.17029 1.42029
0.01662 0.17051 1.42051
0.01664 0.17072 1.42072
0.01666 0.17093 1.42093
0.01668 0.17115 1.42115
0.01670 0.17137 1.42137
0.01672 0.17159 1.42159
0.01674 0.17180 1.4218
0.01676 0.17202 1.42202
0.01678 0.17224 1.42224
0.01680 0.17246 1.42246
0.01682 0.17268 1.42268
0.01684 0.17291 1.42291
0.01686 0.17314 1.42314
0.01688 0.17337 1.42337
0.01690 0.17360 1.4236
0.01692 0.17384 1.42384
0.01694 0.17408 1.42408
0.01696 0.17433 1.42433
0.01698 0.17458 1.42458
0.01700 0.17484 1.42484
0.01702 0.17510 1.4251
0.01704 0.17538 1.42538
0.01706 0.17566 1.42566
0.01708 0.17595 1.42595
0.01710 0.17624 1.42624
0.01712 0.17655 1.42655
0.01714 0.17685 1.42685
0.01716 0.17716 1.42716
0.01718 0.17748 1.42748
0.01720 0.17781 1.42781
0.01722 0.17814 1.42814
0.01724 0.17848 1.42848
0.01726 0.17883 1.42883
0.01728 0.17919 1.42919
0.01730 0.17956 1.42956
0.01732 0.17994 1.42994
0.01734 0.18033 1.43033
0.01736 0.18072 1.43072
0.01738 0.18111 1.43111
0.01740 0.18152 1.43152
0.01742 0.18193 1.43193
0.01744 0.18234 1.43234
0.01746 0.18277 1.43277
0.01748 0.18320 1.4332
0.01750 0.18364 1.43364
0.01752 0.18408 1.43408
0.01754 0.18453 1.43453
0.01756 0.18499 1.43499
0.01758 0.18545 1.43545
0.01760 0.18593 1.43593
0.01762 0.18641 1.43641
0.01764 0.18690 1.4369
0.01766 0.18740 1.4374
0.01768 0.18789 1.43789
0.01770 0.18839 1.43839
0.01772 0.18889 1.43889
0.01774 0.18940 1.4394
0.01776 0.18991 1.43991
0.01778 0.19042 1.44042
0.01780 0.19094 1.44094
0.01782 0.19146 1.44146
0.01784 0.19198 1.44198
0.01786 0.19250 1.4425
0.01788 0.19302 1.44302
0.01790 0.19354 1.44354
0.01792 0.19406 1.44406
0.01794 0.19458 1.44458
0.01796 0.19510 1.4451
0.01798 0.19563 1.44563
0.01800 0.19616 1.44616
0.01802 0.19668 1.44668
0.01804 0.19720 1.4472
0.01806 0.19772 1.44772
0.01808 0.19824 1.44824
0.01810 0.19875 1.44875
0.01812 0.19925 1.44925
0.01814 0.19974 1.44974
0.01816 0.20023 1.45023
0.01818 0.20071 1.45071
0.01820 0.20120 1.4512
0.01822 0.20168 1.45168
0.01824 0.20216 1.45216
0.01826 0.20262 1.45262
