# XXZ model at half-filling
# L=28, J=1, Delta=0.40
# Integrated conductivity, I_s(omega) via MCLM
# omega/Delta I_s(omega)

1.3275 0.114628
1.32875 0.114642
1.33 0.114657
1.33125 0.114671
1.3325 0.114683
1.33375 0.114696
1.335 0.114708
1.33625 0.114721
1.3375 0.114735
1.33875 0.114748
1.34 0.11476
1.34125 0.114775
1.3425 0.114788
1.34375 0.1148
1.345 0.114813
1.34625 0.114828
1.3475 0.114841
1.34875 0.114853
1.35 0.114866
1.35125 0.114878
1.3525 0.114894
1.35375 0.114908
1.355 0.11492
1.35625 0.114933
1.3575 0.114947
1.35875 0.114959
1.36 0.114972
1.36125 0.114984
1.3625 0.114997
1.36375 0.11501
1.365 0.115024
1.36625 0.115037
1.3675 0.115048
1.36875 0.11506
1.37 0.115071
1.37125 0.115087
1.3725 0.115101
1.37375 0.115114
1.375 0.115127
1.37625 0.11514
1.3775 0.115152
1.37875 0.115164
1.38 0.115176
1.38125 0.115189
1.3825 0.115202
1.38375 0.115214
1.385 0.115226
1.38625 0.115238
1.3875 0.115251
1.38875 0.115264
1.39 0.115276
1.39125 0.115287
1.3925 0.115299
1.39375 0.11531
1.395 0.115322
1.39625 0.115335
1.3975 0.115347
1.39875 0.115359
1.4 0.115371
1.40125 0.115382
1.4025 0.115393
1.40375 0.115406
1.405 0.115417
1.40625 0.115427
1.4075 0.115439
1.40875 0.11545
1.41 0.115461
1.41125 0.115472
1.4125 0.115485
1.41375 0.115497
1.415 0.115508
1.41625 0.115519
1.4175 0.115531
1.41875 0.115544
1.42 0.115556
1.42125 0.115567
1.4225 0.115579
1.42375 0.115589
1.425 0.115601
1.42625 0.115613
1.4275 0.115625
1.42875 0.115636
1.43 0.115648
1.43125 0.115659
1.4325 0.11567
1.43375 0.115682
1.435 0.115694
1.43625 0.115705
1.4375 0.115718
1.43875 0.115728
1.44 0.115738
1.44125 0.115748
1.4425 0.11576
1.44375 0.115771
1.445 0.115782
1.44625 0.115793
1.4475 0.115805
1.44875 0.115816
1.45 0.115827
1.45125 0.115838
1.4525 0.115849
1.45375 0.11586
1.455 0.11587
1.45625 0.11588
1.4575 0.11589
1.45875 0.1159
1.46 0.115912
