# Fitting to data1.dat with error function
# r_S CDF(fit)
5.277637631924133599e-01 4.345730548267210391e-01
5.278804608434000123e-01 4.374264205294309260e-01
5.279645862180225580e-01 4.394853932504038663e-01
5.279658283445181066e-01 4.395158067667461199e-01
5.280727643976903529e-01 4.421354597906432815e-01
5.280800471267503848e-01 4.423139609693917951e-01
5.280951497608635803e-01 4.426841669092262954e-01
5.281642007791943483e-01 4.443774247058826510e-01
5.282608811173389318e-01 4.467499040930194010e-01
5.282662991585501677e-01 4.468829169033483040e-01
5.282676541895036104e-01 4.469161838225912953e-01
5.283766720430752573e-01 4.495938491386966551e-01
5.283952048112987576e-01 4.500492774616916547e-01
5.284576665605426049e-01 4.515847073295688463e-01
5.284601801207930993e-01 4.516465107914955368e-01
5.284710196030575347e-01 4.519130455702795035e-01
5.285327992328958668e-01 4.534325708323809767e-01
5.285579792763419604e-01 4.540520934301074396e-01
5.286050139479018251e-01 4.552096193976786220e-01
5.287063618873883986e-01 4.577050781467389973e-01
5.287735357569569583e-01 4.593600049106021377e-01
5.287971833611931904e-01 4.599427674393004040e-01
5.288326722287456372e-01 4.608175026525684892e-01
5.288560275519390563e-01 4.613932720751003913e-01
5.289094141671084603e-01 4.627096929091451538e-01
5.289350639849708102e-01 4.633423188687071370e-01
5.289915069320244578e-01 4.647347494354096553e-01
5.290001754007801482e-01 4.649486366498266632e-01
5.290276353623962757e-01 4.656262547935485774e-01
5.290873562431303023e-01 4.671003038065370538e-01
5.291018294055589433e-01 4.674576035304049415e-01
5.291421595722259896e-01 4.684533739170537725e-01
5.292700430785284293e-01 4.716121522488744833e-01
5.292769077555431467e-01 4.717817650608055469e-01
5.292955261679401779e-01 4.722418154799682966e-01
5.293580132988044973e-01 4.737861042945208934e-01
5.294198826791772783e-01 4.753155144861451742e-01
5.294829407671957089e-01 4.768746837196742305e-01
5.295100207741821885e-01 4.775443718799292081e-01
5.295332211047331095e-01 4.781181662126716136e-01
5.295359814469755566e-01 4.781864384868427797e-01
5.296699247427238966e-01 4.815000244966863852e-01
5.296938322062775262e-01 4.820916056659628190e-01
5.296940171089701277e-01 4.820961811687098919e-01
5.298102278257499353e-01 4.849723107592793236e-01
5.298215641765365858e-01 4.852529213585421997e-01
5.298931718601453955e-01 4.870256014780203202e-01
5.299221256644395250e-01 4.877424405724222756e-01
5.299768405860474374e-01 4.890971803849785138e-01
5.300741177576501206e-01 4.915060608755852378e-01
5.300784524585973045e-01 4.916134091991197219e-01
5.301693907105718973e-01 4.938656116722823231e-01
5.301929170797805568e-01 4.944483071158193299e-01
5.302020547233623482e-01 4.946746293324088550e-01
5.302565586139530440e-01 4.960246211201831956e-01
5.304630074008518381e-01 5.011383765499166643e-01
5.305081512481560901e-01 5.022565980334835478e-01
5.305187933583225268e-01 5.025202028227854223e-01
5.305217411807783279e-01 5.025932201178852088e-01
5.305489226772652778e-01 5.032664989131755418e-01
5.305641675023726744e-01 5.036441054270126561e-01
5.305941708773274090e-01 5.043872638105691975e-01
5.306432031004335581e-01 5.056017168265213302e-01
5.306954135075883094e-01 5.068948312502185027e-01
5.307268345803887177e-01 5.076730145051562282e-01
5.307833893586211271e-01 5.090735907113367320e-01
5.308316035522091525e-01 5.102675250992170231e-01
5.308509305589630412e-01 5.107460970675805623e-01
5.308608731818792448e-01 5.109922885777912205e-01
5.308818781207805815e-01 5.115123826841780907e-01
5.309245883889599504e-01 5.125698516458014886e-01
5.309309965434179102e-01 5.127285045146431353e-01
5.309445253689245581e-01 5.130634440676330454e-01
5.309596260945627089e-01 5.134372890047402826e-01
5.309751104824250723e-01 5.138206199077536285e-01
5.310645380079739297e-01 5.160342233859904759e-01
5.310773198968226083e-01 5.163505752768825507e-01
5.311302418549305182e-01 5.176602825819589526e-01
5.311351587336268221e-01 5.177819555441313115e-01
5.311354404791509554e-01 5.177889275620438658e-01
5.311628612042678110e-01 5.184674489378628959e-01
5.313464999114015930e-01 5.230100840735727452e-01
5.313673273384046380e-01 5.235251104142636391e-01
5.314000184016647310e-01 5.243334244392837684e-01
5.314126610350231594e-01 5.246459975109136753e-01
5.314277950601399292e-01 5.250201471212132542e-01
5.314554657884801303e-01 5.257041769948107568e-01
5.315100191637986971e-01 5.270525312524602102e-01
5.315610696126585877e-01 5.283140259457070886e-01
5.316426022542707353e-01 5.303281641815094094e-01
5.317036378515165307e-01 5.318354496203728798e-01
5.317577055975909461e-01 5.331702822700395972e-01
5.319140212871108497e-01 5.370272767468170505e-01
