time,C4-_Jperp0.2,C4+_Jperp0.2,C4-_Jperp0.6,C4+_Jperp0.6,C4-_Jperp2.0,C4+_Jperp2.0
4.900999999999999659e+02,-1.400994055615187230e-04,2.769806873058060833e-03,-8.100128122589438442e-05,1.604900472240828289e-03,-4.248505684064141671e-05,6.116799695756212430e-04
5.000999999999999659e+02,-1.286546043379181606e-04,2.818191408245127212e-03,-1.299776669447505451e-04,1.605780349026832620e-03,4.144196952251050421e-05,5.196866187011739500e-04
5.100999999999999659e+02,-6.608397365459093664e-05,2.874841970557367489e-03,-4.669768434433010918e-05,1.710514642521096442e-03,4.049900191416027013e-05,6.123616201875982856e-04
5.200999999999999091e+02,-9.361135427002481037e-05,3.013715622093184401e-03,3.227086269874357937e-05,1.668946655293231281e-03,-1.476579698281433163e-04,4.054711639519198788e-04
5.300999999999999091e+02,-1.103624784744349570e-04,2.889372728493001027e-03,-1.620383567943406910e-04,1.830200064352890130e-03,-1.672830591821815392e-04,4.610235275458407999e-04
5.400999999999999091e+02,-3.288774121227730442e-05,3.098431261335315382e-03,1.946023518759866999e-04,1.461896351167204762e-03,-4.441553033868499633e-05,3.611870360574760794e-04
5.500999999999999091e+02,-1.093007031620652365e-04,2.945464059144326224e-03,-5.561321596701523110e-05,1.640782310236302928e-03,2.517758701181745952e-04,5.279398010202398855e-04
5.600999999999999091e+02,-9.087825706215440624e-05,2.919816686065558522e-03,2.917800936091581801e-05,1.574665238680000726e-03,5.610415294272128283e-05,6.484304065840815852e-04
5.700999999999999091e+02,8.898800270577081090e-05,2.892069248564606981e-03,1.816803734472675306e-04,1.525326732936711565e-03,-7.897858928894878935e-05,6.036727357784860745e-04
5.800999999999999091e+02,2.303537167931896381e-05,3.037235617303203020e-03,-1.117530409923283321e-04,1.767252105054764773e-03,7.312043557916533662e-06,6.978294201326404452e-04
5.900999999999999091e+02,-8.699629668967642630e-05,3.114884513198483331e-03,7.958909072826578820e-05,1.724044197711257619e-03,1.157559113593984487e-04,7.720264481752611013e-04
6.000999999999999091e+02,4.689601869701426654e-05,3.117677335107141377e-03,-9.793311872579087563e-05,1.819790973756077890e-03,1.870208586774008670e-07,4.273916129853809888e-04
6.100999999999999091e+02,-8.998005851997886359e-05,2.996708478629350834e-03,1.131487119533379672e-04,1.724714907495854092e-03,7.121533944447434796e-05,6.467112785759392352e-04
6.200999999999999091e+02,-2.816534308357640935e-05,2.860292178550884971e-03,-5.071101125581759704e-05,1.862543876346017813e-03,-9.006490422759198279e-05,4.138591560846358671e-04
6.300999999999999091e+02,6.806005714924590240e-05,2.980966053686440968e-03,-1.922861894088100695e-04,1.749170799011569993e-03,-1.475539268024685666e-04,6.786394217227686640e-04
6.400999999999999091e+02,1.363120000157516199e-04,2.991984261707159032e-03,-1.377023040243379761e-04,1.743267975177786996e-03,-1.480551223957092544e-04,5.690847703824796801e-04
6.500999999999999091e+02,1.384516325832921919e-04,3.023416609443175303e-03,-1.367932921115363380e-04,1.756021614702318965e-03,-4.466822769040737436e-05,4.056196363070913480e-04
6.600999999999999091e+02,1.234505104447731929e-04,2.968612464159894361e-03,1.791183237835370116e-05,1.785321786257871614e-03,-5.743602562395521831e-05,3.894135785122891462e-04
6.700999999999999091e+02,5.348539055974649917e-06,2.946511900425527290e-03,3.415072582395850927e-05,1.788040547180721595e-03,-1.827917569123325807e-04,4.714645307203457064e-04
6.800999999999999091e+02,6.768470584463807812e-06,2.829143218581595641e-03,-8.781024172090287074e-05,1.681910329353498686e-03,2.223551021529535305e-05,6.280380901403726304e-04
6.900999999999999091e+02,3.962780346832859093e-05,2.944779211025645976e-03,-1.648726205746496002e-04,1.549379450638547128e-03,1.360203560949048267e-04,4.389054785399624441e-04
