# XXZ spin chain 
# DTP for L=20, Delta->0.0, omega_p=0.037425
# Integrated and normalized regular part of the optical conductivity I_reg(omega/omega_p) 
# omega/omega_p I_reg(omega/omega_p))

0.564329 0.0546379
0.56513 0.0546379
0.565932 0.0546379
0.566733 0.0552732
0.567535 0.0552732
0.568337 0.0552732
0.569138 0.0559085
0.56994 0.0559085
0.570741 0.0565438
0.571543 0.0565438
0.572345 0.0571792
0.573146 0.0571792
0.573948 0.0571792
0.574749 0.0578145
0.575551 0.0584498
0.576353 0.0584498
0.577154 0.0584498
0.577956 0.0584498
0.578758 0.0584498
0.579559 0.0584498
0.580361 0.0584498
0.581162 0.0590851
0.581964 0.0590851
0.582766 0.0597205
0.583567 0.0597205
0.584369 0.0597205
0.58517 0.0597205
0.585972 0.0597205
0.586774 0.0603558
0.587575 0.0609911
0.588377 0.0609911
0.589178 0.0609911
0.58998 0.0609911
0.590782 0.0616264
0.591583 0.0616264
0.592385 0.0616264
0.593186 0.0622618
0.593988 0.0622618
0.59479 0.0622618
0.595591 0.0622618
0.596393 0.0622618
0.597194 0.0622618
0.597996 0.0622618
0.598798 0.0622618
0.599599 0.0635324
0.600401 0.0635324
0.601202 0.0635324
0.602004 0.0635324
0.602806 0.0635324
0.603607 0.0641677
0.604409 0.0641677
0.60521 0.0641677
0.606012 0.0641677
0.606814 0.066709
0.607615 0.0673443
0.608417 0.0679797
0.609218 0.0679797
0.61002 0.0679797
0.610822 0.068615
0.611623 0.068615
0.612425 0.068615
0.613226 0.068615
0.614028 0.0692503
0.61483 0.0692503
0.615631 0.0692503
0.616433 0.0692503
0.617234 0.0692503
0.618036 0.0698856
0.618838 0.070521
0.619639 0.070521
0.620441 0.0711563
0.621242 0.0724269
0.622044 0.0724269
0.622846 0.0730623
0.623647 0.0730623
0.624449 0.0736976
0.625251 0.0736976
0.626052 0.0743329
0.626854 0.0743329
0.627655 0.0743329
0.628457 0.0762389
0.629259 0.0762389
0.63006 0.0768742
0.630862 0.0768742
0.631663 0.0787802
0.632465 0.0787802
0.633267 0.0787802
0.634068 0.0787802
0.63487 0.0787802
0.635671 0.0806861
0.636473 0.0819568
0.637275 0.0825921
0.638076 0.0832274
0.638878 0.0832274
0.639679 0.0832274
0.640481 0.0832274
0.641283 0.0832274
0.642084 0.0832274
0.642886 0.0838628
0.643687 0.0844981
0.644489 0.0844981
0.645291 0.0851334
0.646092 0.0851334
0.646894 0.0851334
0.647695 0.0851334
0.648497 0.0864041
0.649299 0.0864041
0.6501 0.0870394
0.650902 0.0876747
0.651703 0.08831
0.652505 0.0889454
0.653307 0.0889454
0.654108 0.0895807
0.65491 0.092122
0.655711 0.092122
0.656513 0.092122
0.657315 0.0927573
0.658116 0.0933926
0.658918 0.0933926
0.659719 0.094028
0.660521 0.0946633
0.661323 0.0946633
0.662124 0.0946633
0.662926 0.0946633
0.663727 0.0952986
0.664529 0.0952986
0.665331 0.0965693
0.666132 0.0978399
0.666934 0.0984752
0.667735 0.0984752
0.668537 0.0984752
0.669339 0.0997459
0.67014 0.101017
0.670942 0.101017
0.671743 0.101652
0.672545 0.101652
0.673347 0.102922
0.674148 0.102922
0.67495 0.102922
0.675752 0.103558
0.676553 0.103558
0.677355 0.103558
0.678156 0.103558
0.678958 0.104193
0.67976 0.104828
0.680561 0.104828
0.681363 0.105464
0.682164 0.105464
0.682966 0.105464
0.683768 0.106099
0.684569 0.106099
0.685371 0.106734
0.686172 0.106734
0.686974 0.108005
0.687776 0.10864
0.688577 0.10864
0.689379 0.10864
0.69018 0.10864
0.690982 0.10864
0.691784 0.109911
0.692585 0.111182
0.693387 0.111817
0.694188 0.111817
0.69499 0.112452
0.695792 0.113723
0.696593 0.113723
0.697395 0.114358
0.698196 0.114358
0.698998 0.114358
0.6998 0.114358
0.700601 0.114994
0.701403 0.114994
0.702204 0.114994
0.703006 0.115629
0.703808 0.116264
0.704609 0.116264
0.705411 0.116264
0.706212 0.116264
0.707014 0.1169
0.707816 0.1169
0.708617 0.117535
0.709419 0.117535
0.71022 0.118806
0.711022 0.118806
0.711824 0.119441
0.712625 0.119441
0.713427 0.120076
0.714228 0.120712
0.71503 0.120712
0.715832 0.120712
0.716633 0.120712
0.717435 0.120712
0.718236 0.121347
0.719038 0.121982
0.71984 0.123253
0.720641 0.123253
0.721443 0.123253
0.722244 0.123888
0.723046 0.123888
0.723848 0.123888
0.724649 0.124524
0.725451 0.124524
0.726253 0.124524
0.727054 0.125159
0.727856 0.125794
0.728657 0.125794
0.729459 0.125794
