time,C4-_L14_U0.08,C4+_L12_U0.08,C4+_L13_U0.08,C4+_L14_U0.08,C4-_L14_U0.32,C4+_L12_U0.32,C4+_L13_U0.32,C4+_L14_U0.32,C4-_L14_U1.28,C4+_L12_U1.28,C4+_L13_U1.28,C4+_L14_U1.28
9.800999999999999091e+02,1.135213439334637397e-03,7.337612220822586906e-01,5.858042532540115310e-01,6.191896343135681047e-01,-4.032275733839343879e-05,8.923384987462379403e-02,2.820639335801517975e-02,2.266025189431584985e-02,1.019641260093053036e-05,1.626397681595965344e-02,6.761111761599451243e-03,3.772797454227959542e-03
9.900999999999999091e+02,1.120825135989540798e-03,7.326565093075800839e-01,5.836684378307726018e-01,6.170344537686217601e-01,-1.305099459495093499e-04,8.906241404453531241e-02,2.787518133784681537e-02,2.244669405227709899e-02,3.455745660376538503e-05,1.678319437462573449e-02,6.888971960984527007e-03,3.753369705273492708e-03
1.000099999999999909e+03,1.030607830628478333e-03,7.217063563473498089e-01,5.815388830289084376e-01,6.148331310335322097e-01,-3.877990993480856849e-05,8.579713160050450593e-02,2.785769368609267507e-02,2.212306282804721996e-02,4.417037870937982690e-05,1.575226963663783550e-02,6.720597750686678647e-03,3.662001127661608946e-03
1.100099999999999909e+03,6.913344511629973066e-04,7.113910383300342533e-01,5.603791506630817487e-01,5.939273422341032616e-01,-8.728059270484911304e-05,8.335482115762195277e-02,2.634749482785853428e-02,1.986512572075655597e-02,2.571426690495516804e-04,1.633918074779345045e-02,6.800075334690872282e-03,3.547680168587120497e-03
1.200099999999999909e+03,3.637610163951877137e-04,7.012586727450863533e-01,5.407794173166273755e-01,5.743368669354301792e-01,-1.071369905075501654e-04,8.135070229678002807e-02,2.505537880523872954e-02,1.800434849417404878e-02,-3.786562177983172786e-05,1.611386936746583842e-02,6.691490131742566967e-03,3.548214400142212822e-03
1.300099999999999909e+03,2.201140750135390954e-04,6.916741647171735785e-01,5.227361295854467960e-01,5.558151727505769024e-01,-2.160768415629384727e-04,8.067466100414986963e-02,2.419507347143539169e-02,1.705427759698755971e-02,3.916346347405512553e-05,1.556110544772876247e-02,6.696593377859746780e-03,3.492895983052316401e-03
1.400099999999999909e+03,1.519911395477954676e-04,6.836892407973926833e-01,5.056453779463261355e-01,5.382989796756205703e-01,-4.733987334085995949e-05,7.845079621640922707e-02,2.337804470197519385e-02,1.614335884781382610e-02,2.593849535569295862e-05,1.574676202511871362e-02,6.238107463741720052e-03,3.556942311896056294e-03
1.500099999999999909e+03,4.358177712827123579e-04,6.757023173974766594e-01,4.896412412438935213e-01,5.217495415820091464e-01,1.658925151973856789e-04,7.845189644635729154e-02,2.290363615821392265e-02,1.547314189990350863e-02,-8.949025564253052639e-05,1.534630859848310283e-02,6.509529097190233302e-03,3.561959367507881724e-03
1.600099999999999909e+03,1.617909137488608175e-04,6.685661727950733546e-01,4.749251467278063354e-01,5.059997470631679706e-01,-2.557750772350965971e-04,7.707420850957850955e-02,2.308383424515890806e-02,1.498644851585367345e-02,7.537003850126946559e-05,1.632646317210384793e-02,6.264544465313036728e-03,3.466169180134317900e-03
1.700099999999999909e+03,2.236359714907973362e-04,6.611950892767881616e-01,4.612021266636770478e-01,4.910075663552170844e-01,-7.168566192672134996e-05,7.760421928182990869e-02,2.252182439088050089e-02,1.460543219970943281e-02,3.055984872516268741e-04,1.700740423264952145e-02,6.093677899314580738e-03,3.591623885683624482e-03
1.800099999999999909e+03,6.541887042347250517e-05,6.548137484254094032e-01,4.483240875098150058e-01,4.767666401637652984e-01,-1.686492391990389577e-04,7.746909104002737412e-02,2.239977246093213456e-02,1.420664909434938075e-02,-1.288631982922343841e-05,1.663228581900185951e-02,6.425203185131792699e-03,3.567853095812057243e-03
1.900099999999999909e+03,2.354105885827161189e-04,6.483024413652450635e-01,4.359691667091586953e-01,4.632574959249250446e-01,-2.659284192753176633e-05,7.651399142420765853e-02,2.185730262265118615e-02,1.413452439960827256e-02,-1.383349049803168072e-04,1.647506854472881310e-02,6.347685245863135019e-03,3.403296160345543366e-03
2.000099999999999909e+03,-6.793356080920785766e-06,6.423399916021835798e-01,4.242878943621400945e-01,4.504214635767156416e-01,-5.658440888532667161e-05,7.686346446407299471e-02,2.209922888731673599e-02,1.405074773669581951e-02,-2.191599197398720112e-05,1.602654869028997953e-02,6.232523301874477901e-03,3.580673037654774193e-03
2.100099999999999909e+03,5.620998157165523829e-05,6.368814108331835033e-01,4.132966527497479170e-01,4.380421302774810677e-01,-1.322558877699400671e-04,7.721373767117328812e-02,2.183806665649913256e-02,1.378833157303004792e-02,-3.081214216310481768e-06,1.606169726562109087e-02,6.223768022911303245e-03,3.532542650793789145e-03
2.200099999999999909e+03,1.993849467674027717e-04,6.314878131685761620e-01,4.031361317409970502e-01,4.263120113722186355e-01,2.176134157461102729e-05,7.732576108406657989e-02,2.181719082193889561e-02,1.369046758597325213e-02,2.855179774823667270e-05,1.745171827465557407e-02,6.216857298952413284e-03,3.364052389965449877e-03
2.300099999999999909e+03,1.455631574215116735e-04,6.265590946353948310e-01,3.934720338736527601e-01,4.150730870536928907e-01,2.149290612407318477e-05,7.760231888464690087e-02,2.172468255285760208e-02,1.353901307379230118e-02,-1.015197784762878966e-04,1.672451327734929966e-02,6.328939313561876556e-03,3.376282154886466481e-03
2.400099999999999909e+03,2.448856307841644551e-04,6.214864135324815742e-01,3.844229028865921438e-01,4.042940269228108563e-01,5.327275195221868641e-05,7.852201110031996334e-02,2.180950703400096752e-02,1.362334504737374927e-02,-4.020334465698632869e-05,1.724343042084160518e-02,6.338088444203656031e-03,3.299231368216341657e-03
2.500099999999999909e+03,-8.609921291911551552e-05,6.171805330614040797e-01,3.759423414308234457e-01,3.940087795407262172e-01,5.833012199276343089e-05,7.818424050626580912e-02,2.191169588158482090e-02,1.346189002543438963e-02,-1.062402600024443648e-04,1.657831122611449007e-02,6.622646624413459568e-03,3.438797614444850416e-03
2.600099999999999909e+03,3.372579806940774596e-05,6.127616819626897637e-01,3.677024760409778326e-01,3.842239340784743828e-01,-8.526043243695873941e-05,7.837968135340285525e-02,2.157377381779996758e-02,1.337628851861972362e-02,-3.013212388533513877e-04,1.644102149170153029e-02,6.221026923409684814e-03,3.617801669693789489e-03
2.700099999999999909e+03,-6.478926304645356228e-05,6.086877411872912980e-01,3.598724548037640081e-01,3.747346194349993054e-01,1.573033688877033373e-04,7.894079862691302796e-02,2.167767317117007958e-02,1.326973033084547816e-02,-8.790885024539570860e-05,1.668205459945644800e-02,6.527028000557326577e-03,3.372165024634039918e-03
