time,C3-_L14_U0.08,C3+_L12_U0.08,C3+_L13_U0.08,C3+_L14_U0.08,C3-_L14_U0.32,C3+_L12_U0.32,C3+_L13_U0.32,C3+_L14_U0.32,C3-_L14_U1.28,C3+_L12_U1.28,C3+_L13_U1.28,C3+_L14_U1.28
1.500099999999999909e+03,2.126714450814479857e-04,8.697700565356039082e-01,7.994464791501637579e-01,8.253019623242524583e-01,-5.753071795455719281e-06,1.738405601670112710e-01,7.856190530871139110e-02,8.068924414553865776e-02,-1.937061850661260778e-05,2.546004048356255087e-02,9.044286825728593479e-03,3.816990593940025340e-03
1.600099999999999909e+03,7.847512693784463157e-05,8.644105773193402342e-01,7.899309291216991546e-01,8.165320313270642005e-01,-5.573786230832096500e-06,1.660203969514448541e-01,7.169354731217063292e-02,7.168653143988126808e-02,1.233566929704031493e-04,2.504250374032914936e-02,9.057483090764987393e-03,3.611561069332068410e-03
1.700099999999999909e+03,6.844463483709139432e-05,8.593161712632687577e-01,7.805763575173033653e-01,8.079263824472069366e-01,9.148342373361838850e-05,1.595477110864722825e-01,6.604960177713257996e-02,6.415801381049721086e-02,1.174101916590050752e-04,2.544173887302082424e-02,8.862628141376855534e-03,3.582186354002364539e-03
1.800099999999999909e+03,1.307112770764180592e-04,8.543327958516551135e-01,7.716044712015898144e-01,7.994793982230795626e-01,-1.782483870921194988e-04,1.537073107388650661e-01,6.139611660813334287e-02,5.781039135786719685e-02,-1.080358892337959369e-04,2.545504004352383207e-02,9.186115424717977707e-03,3.470116039487779885e-03
1.900099999999999909e+03,-5.672476464245278368e-05,8.495124654404615505e-01,7.628534527951673638e-01,7.912047959539059150e-01,-2.076737610672407656e-04,1.485900931946899928e-01,5.761892070778996955e-02,5.226850855653846634e-02,-6.016243653431616598e-05,2.524722175551448455e-02,8.746481021302293657e-03,3.668280612128112413e-03
2.000099999999999909e+03,-1.479083077209511043e-04,8.450482333123942036e-01,7.542957713732002523e-01,7.830575312118910336e-01,2.353207342540602934e-04,1.438224805969254561e-01,5.451652506131253462e-02,4.750167045867950688e-02,9.755728207491689218e-05,2.547614190048724456e-02,8.847039035073502380e-03,3.548759907865874346e-03
2.100099999999999909e+03,-2.108462538472328257e-05,8.403489363064206019e-01,7.458207498379533229e-01,7.750299879341715492e-01,-3.143077322316324760e-05,1.404862505368932868e-01,5.143616833578318337e-02,4.357581591392184484e-02,7.456739091775533939e-05,2.604519197689396728e-02,8.789277937500214466e-03,3.537393123687677943e-03
2.200099999999999909e+03,6.289374583819488387e-05,8.358656989329055209e-01,7.375979791925335594e-01,7.671864030548102287e-01,7.699069122278586719e-06,1.375555622146973911e-01,4.885462424372256918e-02,4.015362002181044332e-02,9.555211665743994646e-06,2.577546824120522523e-02,8.474973316031446033e-03,3.356732907141442117e-03
2.300099999999999909e+03,1.015255608500430988e-04,8.315715137377917010e-01,7.295978966616583072e-01,7.593897264580026230e-01,5.827632244179441114e-05,1.354649246351622427e-01,4.682658207524273419e-02,3.713299827219058297e-02,-1.560454425503875046e-04,2.592458136315995559e-02,8.565365246794694187e-03,3.460853821417020620e-03
2.400099999999999909e+03,2.917785010751637939e-05,8.274663807210791422e-01,7.217779790140322893e-01,7.517768664897512831e-01,-8.160524904295814663e-05,1.325192532438344561e-01,4.549208842089148830e-02,3.432022915338131530e-02,2.803120273541800196e-05,2.534683052108585230e-02,8.951859186875256100e-03,3.256215506089228488e-03
2.500099999999999909e+03,2.523359941375184635e-05,8.230761690226503502e-01,7.140862111631571807e-01,7.443156494482906504e-01,1.014485900517713405e-04,1.307412623735179080e-01,4.388071018590272709e-02,3.229767108753590216e-02,8.132996032617913987e-05,2.523712086663626453e-02,8.860702169613415141e-03,3.463931972110343132e-03
2.600099999999999909e+03,-1.339411747955392324e-04,8.190000440121474323e-01,7.066321216205605493e-01,7.369092054769423861e-01,-1.827178895259566561e-04,1.287395243374986065e-01,4.293810151165019379e-02,3.036003545943330093e-02,-8.947191483497884642e-05,2.575476641944491121e-02,9.023856598566904613e-03,3.407012924549688172e-03
