time,alpha=0.0,alpha=0.5,alpha=1.0
1.710000000000000142e+01,9.388900000000000023e-01,9.361070000000000224e-01,8.659229999999999983e-01
1.810000000000000142e+01,9.367140000000000466e-01,9.343169999999999531e-01,8.646000000000000352e-01
1.910000000000000142e+01,9.345780000000000198e-01,9.324839999999999796e-01,8.633260000000000378e-01
2.010000000000000142e+01,9.324080000000000146e-01,9.307100000000000373e-01,8.619200000000000195e-01
2.110000000000000142e+01,9.303029999999999911e-01,9.289640000000000120e-01,8.608789999999999498e-01
2.210000000000000142e+01,9.281700000000000506e-01,9.272590000000000554e-01,8.598999999999999977e-01
2.310000000000000142e+01,9.260500000000000398e-01,9.255480000000000373e-01,8.583809999999999496e-01
2.410000000000000142e+01,9.239540000000000530e-01,9.237619999999999720e-01,8.564739999999999576e-01
2.510000000000000142e+01,9.218800000000000328e-01,9.219100000000000072e-01,8.545679999999999943e-01
2.610000000000000142e+01,9.198739999999999695e-01,9.199889999999999457e-01,8.527390000000000247e-01
2.710000000000000142e+01,9.178349999999999564e-01,9.180469999999999464e-01,8.506669999999999510e-01
2.810000000000000142e+01,9.157880000000000464e-01,9.161420000000000119e-01,8.483929999999999527e-01
2.910000000000000142e+01,9.137870000000000159e-01,9.143999999999999906e-01,8.462880000000000402e-01
3.010000000000000142e+01,9.118249999999999966e-01,9.125839999999999508e-01,8.444009999999999572e-01
3.110000000000000142e+01,9.098600000000000021e-01,9.107180000000000275e-01,8.426730000000000054e-01
3.210000000000000142e+01,9.078789999999999916e-01,9.089810000000000390e-01,8.409250000000000336e-01
3.310000000000000142e+01,9.059829999999999828e-01,9.071749999999999536e-01,8.390250000000000208e-01
3.410000000000000142e+01,9.041259999999999852e-01,9.053330000000000544e-01,8.371669999999999945e-01
3.510000000000000142e+01,9.021740000000000315e-01,9.035389999999999810e-01,8.354519999999999724e-01
3.610000000000000142e+01,9.003259999999999597e-01,9.018620000000000525e-01,8.338379999999999681e-01
3.710000000000000142e+01,8.984079999999999844e-01,9.001620000000000177e-01,8.322479999999999878e-01
3.810000000000000142e+01,8.964509999999999978e-01,8.985049999999999981e-01,8.306449999999999667e-01
3.910000000000000142e+01,8.945349999999999691e-01,8.969920000000000115e-01,8.290629999999999944e-01
4.010000000000000142e+01,8.926840000000000330e-01,8.953539999999999832e-01,8.273490000000000011e-01
4.110000000000000142e+01,8.909169999999999590e-01,8.935520000000000129e-01,8.253209999999999713e-01
4.210000000000000142e+01,8.891980000000000439e-01,8.916859999999999786e-01,8.231309999999999460e-01
4.310000000000000142e+01,8.873750000000000249e-01,8.897610000000000241e-01,8.211370000000000058e-01
4.410000000000000142e+01,8.855619999999999603e-01,8.880409999999999693e-01,8.194949999999999735e-01
4.510000000000000142e+01,8.838340000000000085e-01,8.865520000000000067e-01,8.182040000000000424e-01
4.610000000000000142e+01,8.820219999999999727e-01,8.851029999999999731e-01,8.170159999999999645e-01
4.710000000000000142e+01,8.802389999999999937e-01,8.836310000000000553e-01,8.158549999999999969e-01
4.810000000000000142e+01,8.785889999999999533e-01,8.820329999999999560e-01,8.146820000000000173e-01
4.910000000000000142e+01,8.768709999999999560e-01,8.802900000000000169e-01,8.132629999999999582e-01
5.010000000000000142e+01,8.751430000000000042e-01,8.786979999999999791e-01,8.116459999999999786e-01
5.110000000000000142e+01,8.734199999999999742e-01,8.771010000000000195e-01,8.098450000000000371e-01
5.210000000000000142e+01,8.717510000000000536e-01,8.753790000000000182e-01,8.080289999999999973e-01
5.310000000000000142e+01,8.701010000000000133e-01,8.737139999999999906e-01,8.063930000000000264e-01
5.410000000000000142e+01,8.684739999999999682e-01,8.721929999999999961e-01,8.049629999999999841e-01
5.510000000000000142e+01,8.668510000000000382e-01,8.707179999999999920e-01,8.034729999999999928e-01
5.610000000000000142e+01,8.651109999999999634e-01,8.691079999999999917e-01,8.017349999999999755e-01
5.710000000000000142e+01,8.634100000000000108e-01,8.674790000000000001e-01,8.000899999999999679e-01
5.810000000000000142e+01,8.617690000000000072e-01,8.658620000000000205e-01,7.987260000000000471e-01
5.910000000000000142e+01,8.601320000000000077e-01,8.642009999999999970e-01,7.972799999999999887e-01
6.010000000000000142e+01,8.584770000000000456e-01,8.626679999999999904e-01,7.957210000000000116e-01
6.110000000000000142e+01,8.568139999999999645e-01,8.611980000000000190e-01,7.943360000000000420e-01
6.210000000000000142e+01,8.552300000000000457e-01,8.597550000000000470e-01,7.930409999999999959e-01
6.310000000000000142e+01,8.536569999999999991e-01,8.582760000000000389e-01,7.916459999999999608e-01
6.409999999999999432e+01,8.520379999999999621e-01,8.567590000000000483e-01,7.902500000000000080e-01
6.509999999999999432e+01,8.504359999999999697e-01,8.552499999999999547e-01,7.887229999999999519e-01
6.609999999999999432e+01,8.488850000000000007e-01,8.537310000000000176e-01,7.870669999999999611e-01
6.709999999999999432e+01,8.473650000000000349e-01,8.522340000000000471e-01,7.854619999999999935e-01
6.809999999999999432e+01,8.458099999999999508e-01,8.507090000000000485e-01,7.839770000000000350e-01
6.909999999999999432e+01,8.443640000000000034e-01,8.490849999999999786e-01,7.824510000000000076e-01
7.009999999999999432e+01,8.428809999999999913e-01,8.474969999999999448e-01,7.808610000000000273e-01
7.109999999999999432e+01,8.413370000000000015e-01,8.459550000000000125e-01,7.794419999999999682e-01
7.209999999999999432e+01,8.396900000000000475e-01,8.444000000000000394e-01,7.782259999999999733e-01
7.309999999999999432e+01,8.380729999999999569e-01,8.429079999999999906e-01,7.770639999999999770e-01
7.409999999999999432e+01,8.364730000000000221e-01,8.415399999999999547e-01,7.757319999999999771e-01
7.509999999999999432e+01,8.349520000000000275e-01,8.401380000000000514e-01,7.743649999999999700e-01
7.609999999999999432e+01,8.335169999999999524e-01,8.387569999999999748e-01,7.731360000000000454e-01
7.709999999999999432e+01,8.320699999999999763e-01,8.373650000000000260e-01,7.718080000000000496e-01
7.809999999999999432e+01,8.306519999999999460e-01,8.359109999999999596e-01,7.702900000000000302e-01
7.909999999999999432e+01,8.291500000000000536e-01,8.344430000000000458e-01,7.688139999999999974e-01
8.009999999999999432e+01,8.276149999999999896e-01,8.329630000000000090e-01,7.673980000000000246e-01
8.109999999999999432e+01,8.260979999999999990e-01,8.314740000000000464e-01,7.659319999999999462e-01
8.209999999999999432e+01,8.246329999999999494e-01,8.299499999999999655e-01,7.644520000000000204e-01
8.309999999999999432e+01,8.231549999999999701e-01,8.284190000000000165e-01,7.629960000000000075e-01
8.409999999999999432e+01,8.216999999999999860e-01,8.269229999999999636e-01,7.616659999999999542e-01
8.509999999999999432e+01,8.202620000000000466e-01,8.255249999999999533e-01,7.602989999999999471e-01
8.609999999999999432e+01,8.188549999999999995e-01,8.241960000000000397e-01,7.589900000000000535e-01
8.709999999999999432e+01,8.174169999999999492e-01,8.228720000000000478e-01,7.578110000000000124e-01
8.809999999999999432e+01,8.159980000000000011e-01,8.215930000000000177e-01,7.566420000000000368e-01
8.909999999999999432e+01,8.145170000000000465e-01,8.202110000000000234e-01,7.553779999999999939e-01
9.009999999999999432e+01,8.130070000000000352e-01,8.187440000000000273e-01,7.539369999999999683e-01
9.109999999999999432e+01,8.116269999999999873e-01,8.173359999999999514e-01,7.525220000000000242e-01
9.209999999999999432e+01,8.102369999999999850e-01,8.160469999999999668e-01,7.512809999999999766e-01
9.309999999999999432e+01,8.088579999999999659e-01,8.146900000000000253e-01,7.499099999999999655e-01
9.409999999999999432e+01,8.074390000000000178e-01,8.132479999999999709e-01,7.485110000000000374e-01
9.509999999999999432e+01,8.061049999999999605e-01,8.118149999999999533e-01,7.472309999999999786e-01
9.609999999999999432e+01,8.047490000000000476e-01,8.104350000000000165e-01,7.459489999999999732e-01
