time,alpha=0.0,alpha=0.5,alpha=1.0
3.010000000000000142e+01,8.459820000000000118e-01,9.151930000000000343e-01,9.108920000000000350e-01
3.110000000000000142e+01,8.445319999999999494e-01,9.136710000000000109e-01,9.089939999999999687e-01
3.210000000000000142e+01,8.432809999999999473e-01,9.121569999999999956e-01,9.071289999999999631e-01
3.310000000000000142e+01,8.420130000000000114e-01,9.105900000000000105e-01,9.052559999999999496e-01
3.410000000000000142e+01,8.412030000000000340e-01,9.092240000000000322e-01,9.033480000000000398e-01
3.510000000000000142e+01,8.405629999999999491e-01,9.079730000000000301e-01,9.015609999999999458e-01
3.610000000000000142e+01,8.395839999999999970e-01,9.065640000000000365e-01,8.998699999999999477e-01
3.710000000000000142e+01,8.380250000000000199e-01,9.050089999999999524e-01,8.981799999999999784e-01
3.810000000000000142e+01,8.363289999999999891e-01,9.034370000000000456e-01,8.963980000000000281e-01
3.910000000000000142e+01,8.348470000000000057e-01,9.018969999999999487e-01,8.946359999999999868e-01
4.010000000000000142e+01,8.336390000000000189e-01,9.004320000000000102e-01,8.929519999999999680e-01
4.110000000000000142e+01,8.323340000000000183e-01,8.989880000000000093e-01,8.911989999999999634e-01
4.210000000000000142e+01,8.309879999999999489e-01,8.976480000000000015e-01,8.895199999999999774e-01
4.310000000000000142e+01,8.298600000000000421e-01,8.962449999999999584e-01,8.879460000000000131e-01
4.410000000000000142e+01,8.288010000000000099e-01,8.948329999999999895e-01,8.863889999999999825e-01
4.510000000000000142e+01,8.277529999999999610e-01,8.934720000000000439e-01,8.847990000000000022e-01
4.610000000000000142e+01,8.265569999999999862e-01,8.920099999999999696e-01,8.831959999999999811e-01
4.710000000000000142e+01,8.251180000000000181e-01,8.905330000000000190e-01,8.816760000000000153e-01
4.810000000000000142e+01,8.235649999999999915e-01,8.891170000000000462e-01,8.801029999999999687e-01
4.910000000000000142e+01,8.222120000000000539e-01,8.877059999999999951e-01,8.784030000000000449e-01
5.010000000000000142e+01,8.210840000000000360e-01,8.862989999999999480e-01,8.767460000000000253e-01
5.110000000000000142e+01,8.196980000000000377e-01,8.848730000000000206e-01,8.751130000000000297e-01
5.210000000000000142e+01,8.182230000000000336e-01,8.834220000000000406e-01,8.735169999999999879e-01
5.310000000000000142e+01,8.169910000000000228e-01,8.819930000000000270e-01,8.720040000000000013e-01
5.410000000000000142e+01,8.156860000000000221e-01,8.806680000000000064e-01,8.705479999999999885e-01
5.510000000000000142e+01,8.142749999999999710e-01,8.793889999999999763e-01,8.690799999999999637e-01
5.610000000000000142e+01,8.129939999999999944e-01,8.780639999999999556e-01,8.675669999999999771e-01
5.710000000000000142e+01,8.117229999999999723e-01,8.766620000000000523e-01,8.660689999999999777e-01
5.810000000000000142e+01,8.104710000000000525e-01,8.752069999999999572e-01,8.646580000000000377e-01
5.910000000000000142e+01,8.090800000000000214e-01,8.738110000000000044e-01,8.631600000000000383e-01
6.010000000000000142e+01,8.077450000000000463e-01,8.724699999999999678e-01,8.616000000000000325e-01
6.110000000000000142e+01,8.065440000000000387e-01,8.711820000000000119e-01,8.601450000000000484e-01
6.210000000000000142e+01,8.052749999999999631e-01,8.698120000000000296e-01,8.587219999999999853e-01
6.310000000000000142e+01,8.041329999999999867e-01,8.684079999999999577e-01,8.572629999999999972e-01
6.409999999999999432e+01,8.028760000000000341e-01,8.670639999999999459e-01,8.557970000000000299e-01
6.509999999999999432e+01,8.016309999999999825e-01,8.657420000000000115e-01,8.542450000000000321e-01
6.609999999999999432e+01,8.003449999999999731e-01,8.643129999999999979e-01,8.527649999999999952e-01
6.709999999999999432e+01,7.989190000000000458e-01,8.629250000000000531e-01,8.514159999999999506e-01
6.809999999999999432e+01,7.975940000000000252e-01,8.616650000000000142e-01,8.499949999999999450e-01
6.909999999999999432e+01,7.964160000000000128e-01,8.603920000000000456e-01,8.484840000000000160e-01
7.009999999999999432e+01,7.952150000000000052e-01,8.590640000000000498e-01,8.469670000000000254e-01
7.109999999999999432e+01,7.939899999999999736e-01,8.577320000000000499e-01,8.455319999999999503e-01
7.209999999999999432e+01,7.925830000000000375e-01,8.563669999999999893e-01,8.442309999999999537e-01
7.309999999999999432e+01,7.912829999999999586e-01,8.550290000000000390e-01,8.430290000000000283e-01
7.409999999999999432e+01,7.900869999999999838e-01,8.537810000000000121e-01,8.417839999999999767e-01
7.509999999999999432e+01,7.888439999999999896e-01,8.524199999999999555e-01,8.404610000000000136e-01
7.609999999999999432e+01,7.877990000000000270e-01,8.510739999999999972e-01,8.390990000000000393e-01
7.709999999999999432e+01,7.866520000000000179e-01,8.498539999999999983e-01,8.376470000000000304e-01
7.809999999999999432e+01,7.854849999999999888e-01,8.486000000000000210e-01,8.362399999999999833e-01
7.909999999999999432e+01,7.842829999999999524e-01,8.473880000000000301e-01,8.349109999999999587e-01
8.009999999999999432e+01,7.829730000000000301e-01,8.462129999999999930e-01,8.335399999999999476e-01
8.109999999999999432e+01,7.817410000000000192e-01,8.448930000000000051e-01,8.322450000000000125e-01
8.209999999999999432e+01,7.804609999999999603e-01,8.435110000000000108e-01,8.310290000000000177e-01
8.309999999999999432e+01,7.793160000000000087e-01,8.422880000000000367e-01,8.297360000000000291e-01
8.409999999999999432e+01,7.783079999999999998e-01,8.411089999999999955e-01,8.283810000000000340e-01
8.509999999999999432e+01,7.772409999999999597e-01,8.398189999999999822e-01,8.269800000000000484e-01
8.609999999999999432e+01,7.760780000000000456e-01,8.384909999999999863e-01,8.255559999999999565e-01
8.709999999999999432e+01,7.749479999999999702e-01,8.372049999999999770e-01,8.242319999999999647e-01
8.809999999999999432e+01,7.738519999999999843e-01,8.359379999999999589e-01,8.229689999999999506e-01
8.909999999999999432e+01,7.727760000000000185e-01,8.347120000000000095e-01,8.216879999999999740e-01
9.009999999999999432e+01,7.717889999999999473e-01,8.334570000000000034e-01,8.203540000000000276e-01
