time,alpha=0.0,alpha=0.5,alpha=1.0
1.710000000000000142e+01,9.608259999999999579e-01,9.777059999999999640e-01,9.618419999999999748e-01
1.810000000000000142e+01,9.603169999999999762e-01,9.771959999999999535e-01,9.610309999999999686e-01
1.910000000000000142e+01,9.595299999999999940e-01,9.765709999999999669e-01,9.604430000000000467e-01
2.010000000000000142e+01,9.585879999999999956e-01,9.759499999999999842e-01,9.598799999999999555e-01
2.110000000000000142e+01,9.577189999999999870e-01,9.754620000000000513e-01,9.593990000000000018e-01
2.210000000000000142e+01,9.566649999999999876e-01,9.748480000000000478e-01,9.589459999999999651e-01
2.310000000000000142e+01,9.559450000000000447e-01,9.742779999999999774e-01,9.585909999999999709e-01
2.410000000000000142e+01,9.557689999999999797e-01,9.739640000000000519e-01,9.584610000000000074e-01
2.510000000000000142e+01,9.556999999999999940e-01,9.737540000000000084e-01,9.585310000000000219e-01
2.610000000000000142e+01,9.554869999999999752e-01,9.734439999999999760e-01,9.585150000000000059e-01
2.710000000000000142e+01,9.547390000000000043e-01,9.729940000000000255e-01,9.581060000000000132e-01
2.810000000000000142e+01,9.540070000000000494e-01,9.725719999999999921e-01,9.574500000000000233e-01
2.910000000000000142e+01,9.535789999999999544e-01,9.721840000000000481e-01,9.566930000000000156e-01
3.010000000000000142e+01,9.530499999999999527e-01,9.716639999999999722e-01,9.558769999999999767e-01
3.110000000000000142e+01,9.524000000000000243e-01,9.710959999999999592e-01,9.550159999999999760e-01
3.210000000000000142e+01,9.517630000000000257e-01,9.706059999999999688e-01,9.542009999999999659e-01
3.310000000000000142e+01,9.511190000000000477e-01,9.701750000000000096e-01,9.536090000000000400e-01
3.410000000000000142e+01,9.505599999999999605e-01,9.697609999999999841e-01,9.531140000000000168e-01
3.510000000000000142e+01,9.501530000000000253e-01,9.694220000000000059e-01,9.525820000000000398e-01
3.610000000000000142e+01,9.497139999999999471e-01,9.690450000000000452e-01,9.519729999999999581e-01
3.710000000000000142e+01,9.492089999999999694e-01,9.685350000000000348e-01,9.513279999999999514e-01
3.810000000000000142e+01,9.487250000000000405e-01,9.679950000000000498e-01,9.507109999999999728e-01
3.910000000000000142e+01,9.482899999999999663e-01,9.675110000000000099e-01,9.500979999999999981e-01
4.010000000000000142e+01,9.478790000000000271e-01,9.670800000000000507e-01,9.495190000000000019e-01
4.110000000000000142e+01,9.475240000000000329e-01,9.667050000000000365e-01,9.490950000000000220e-01
4.210000000000000142e+01,9.471220000000000194e-01,9.663209999999999855e-01,9.487569999999999615e-01
4.310000000000000142e+01,9.466200000000000170e-01,9.659419999999999673e-01,9.483620000000000383e-01
4.410000000000000142e+01,9.462019999999999875e-01,9.655820000000000514e-01,9.478999999999999648e-01
4.510000000000000142e+01,9.458020000000000316e-01,9.652230000000000532e-01,9.473939999999999584e-01
4.610000000000000142e+01,9.453970000000000429e-01,9.648480000000000389e-01,9.469450000000000367e-01
4.710000000000000142e+01,9.450220000000000287e-01,9.644749999999999712e-01,9.464780000000000415e-01
