time,alpha=0.0,alpha=0.5,alpha=1.0
7.509999999999999432e+01,8.083099999999999730e-01,8.499020000000000463e-01,8.041209999999999747e-01
7.609999999999999432e+01,8.071469999999999478e-01,8.487890000000000157e-01,8.029239999999999711e-01
7.709999999999999432e+01,8.060380000000000322e-01,8.475639999999999841e-01,8.016410000000000480e-01
7.809999999999999432e+01,8.049330000000000096e-01,8.463349999999999485e-01,8.003740000000000299e-01
7.909999999999999432e+01,8.037779999999999925e-01,8.451490000000000391e-01,7.991599999999999815e-01
8.009999999999999432e+01,8.026959999999999651e-01,8.440290000000000292e-01,7.979610000000000314e-01
8.109999999999999432e+01,8.016330000000000400e-01,8.429480000000000306e-01,7.968619999999999592e-01
8.209999999999999432e+01,8.005189999999999806e-01,8.419240000000000057e-01,7.958849999999999536e-01
8.309999999999999432e+01,7.994879999999999765e-01,8.408889999999999976e-01,7.948950000000000182e-01
8.409999999999999432e+01,7.985050000000000203e-01,8.397809999999999997e-01,7.938490000000000268e-01
8.509999999999999432e+01,7.974539999999999962e-01,8.386930000000000218e-01,7.928269999999999484e-01
8.609999999999999432e+01,7.963510000000000311e-01,8.375540000000000207e-01,7.916100000000000358e-01
8.709999999999999432e+01,7.953219999999999734e-01,8.364209999999999701e-01,7.903149999999999897e-01
8.809999999999999432e+01,7.942550000000000443e-01,8.353350000000000497e-01,7.891909999999999759e-01
8.909999999999999432e+01,7.932289999999999619e-01,8.342920000000000336e-01,7.882430000000000270e-01
9.009999999999999432e+01,7.922259999999999858e-01,8.332410000000000094e-01,7.873219999999999663e-01
9.109999999999999432e+01,7.911650000000000071e-01,8.321889999999999565e-01,7.864440000000000319e-01
9.209999999999999432e+01,7.900829999999999798e-01,8.312209999999999877e-01,7.856229999999999603e-01
9.309999999999999432e+01,7.890779999999999461e-01,8.303150000000000253e-01,7.846899999999999986e-01
9.409999999999999432e+01,7.880709999999999660e-01,8.293739999999999446e-01,7.838289999999999980e-01
9.509999999999999432e+01,7.869920000000000249e-01,8.283289999999999820e-01,7.829350000000000476e-01
9.609999999999999432e+01,7.859680000000000000e-01,8.272410000000000041e-01,7.819059999999999899e-01
