# XXZ spin chain 
# MCLM for L=32, Delta=0.600
# High-T spin conductivity sigma(omega)
# omega/J sigma(omega) sigma(omega){rescaled} 

0.01768 0.09814 0.89814
0.01770 0.09813 0.89813
0.01772 0.09811 0.89811
0.01774 0.09810 0.8981
0.01776 0.09809 0.89809
0.01778 0.09808 0.89808
0.01780 0.09807 0.89807
0.01782 0.09807 0.89807
0.01784 0.09807 0.89807
0.01786 0.09807 0.89807
0.01788 0.09808 0.89808
0.01790 0.09808 0.89808
0.01792 0.09808 0.89808
0.01794 0.09809 0.89809
0.01796 0.09809 0.89809
0.01798 0.09810 0.8981
0.01800 0.09811 0.89811
0.01802 0.09813 0.89813
0.01804 0.09814 0.89814
0.01806 0.09816 0.89816
0.01808 0.09817 0.89817
0.01810 0.09818 0.89818
0.01812 0.09818 0.89818
0.01814 0.09818 0.89818
0.01816 0.09819 0.89819
0.01818 0.09820 0.8982
0.01820 0.09821 0.89821
0.01822 0.09822 0.89822
0.01824 0.09824 0.89824
0.01826 0.09826 0.89826
